author,school
王晓娟,浙江大学流体传动及控制国家重点实验室
王宣银,浙江大学流体传动及控制国家重点实验室
毕盛,华南理工大学计算机科学与工程学院
闵华清,华南理工大学计算机科学与工程学院
陈强,华南理工大学计算机科学与工程学院
李宗玮,南开大学信息技术科学学院
孙雷,南开大学机器人所
高雷,临沂大学信息学院
丘柳东,重庆大学自动化学院
王牛,重庆大学自动化学院
李祖枢,重庆大学自动化学院
税海涛,国防科技大学机电工程与自动化学院
杨庆,国防科技大学机电工程与自动化学院
李迅,国防科技大学机电工程与自动化学院
马宏绪,国防科技大学机电工程与自动化学院
沈春生,湖南大学电气与信息工程学院
侯艳丽,商丘师范学院计算机科学系
厚之成,重庆大学智能自动化研究所
罗荣贵,上海大学机电工程与自动化学院
屠大维,上海大学机电工程与自动化学院
胡金东,江南大学通信与控制工程学院
刘国栋,江南大学通信与控制工程学院
马千知,陕西师范大学计算机科学学院
雷秀娟,陕西师范大学计算机科学学院
崔靖,南京师范大学计算机科学与技术学院
朱庆保,南京师范大学计算机科学与技术学院
王娟,南京师范大学计算机科学与技术学院
黎波,西南科技大学信息工程学院
李磊民,西南科技大学国防科技学院
刘英卓,南京财经大学电子商务实验室
李夏,郑州大学信息工程学院
张云洲,郑州大学信息工程学院
徐开勇,郑州大学信息工程学院
范冠廷,郑州大学信息工程学院
赵学萍,天津工业大学信息与通信工程学院
汪剑鸣,天津工业大学信息与通信工程学院
刘海亭,天津工业大学信息与通信工程学院
魏志莲,天津工业大学信息与通信工程学院
李国栋,山东大学控制科学与工程学院
田国会,山东大学控制科学与工程学院
周风余,山东大学控制科学与工程学院
薛英花,山东大学控制科学与工程学院
厉虹,北京信息科技大学电气工程系
张甜,北京信息科技大学电气工程系
安雷,第二炮兵工程学院301教研室
张国良,第二炮兵工程学院301教研室
汤文俊,第二炮兵工程学院301教研室
裴九芳,安徽工程大学机械与汽车工程学院
王海,安徽工程大学机械与汽车工程学院
许德章,安徽工程大学机械与汽车工程学院
蔡建羡,防灾科技学院防灾仪器系
奥顿,北京工业大学电子信息与控制工程学院
王娟,空军工程大学电讯工程学院
吴宪祥,空军工程大学电讯工程学院
