name,label,author_id,type
孙亮,北京工业大学人工智能与机器人研究所,285,person
常青,北京工业大学人工智能与机器人研究所,286,person
阮晓钢,北京工业大学人工智能与机器人研究所,287,person
段清娟,西安电子科技大学,288,person
丁良宏,西北工业大学 西安710072,289,person
赵飞,燕山大学信息科学与工程学院,290,person
赵逢达,燕山大学信息科学与工程学院,291,person
金雷泽,中国科学院沈阳自动化研究所,292,person
杜振军,中国科学院沈阳自动化研究所 沈阳110016,293,person
贾凯,中国科学院研究生院,294,person
范红,上海海事大学物流工程学院电气自动化系,295,person
黄洪琼,上海海事大学信息工程学院 上海200135,296,person
宋洪军,山东大学控制学院,297,person
李贻斌,山东大学控制学院,298,person
贾磊,山东大学控制学院,299,person
周彤,哈尔滨工业大学计算机科学与技术学院,300,person
洪炳镕,哈尔滨工业大学计算机科学与技术学院,301,person
朴松昊,哈尔滨工业大学计算机科学与技术学院,302,person
周洪玉,哈尔滨工业大学计算机科学与技术学院,303,person
郭利进,天津大学电气与自动化工程学院,304,person
王化祥,天津大学电气与自动化工程学院,305,person
孟庆浩,天津大学电气与自动化工程学院,306,person
邱亚男,天津大学电气与自动化工程学院,307,person
肖本贤,合肥工业大学自动化研究所,308,person
余炎峰,合肥工业大学自动化研究所,309,person
余雷,合肥工业大学自动化研究所,310,person
陈昊,合肥工业大学自动化研究所,311,person
皮剑,湖南师范大学物理与信息科学学院 长沙410081中南大学信息科学与工程学院,312,person
国海涛,南京师范大学数学与计算机科学学院,313,person
朱庆保,南京师范大学数学与计算机科学学院,314,person
司应涛,南京师范大学数学与计算机科学学院,315,person
张彦,中国科学技术大学自动化系,316,person
关胜晓,中国科学技术大学自动化系 合肥230027,317,person
郭剑辉,南京理工大学计算机学院,318,person
赵春霞,南京理工大学计算机学院 南京210094,319,person
石杏喜,南京210094南京理工大学理学院,320,person
吴笛飞,东华大学信息科学与技术学院,321,person
丁永生,东华大学信息科学与技术学院,322,person
郝矿荣,东华大学信息科学与技术学院,323,person
张淑平,东华大学信息科学与技术学院,324,person
杨世强,西安理工大学机械与精密仪器工程学院,325,person
傅卫平,西安理工大学机械与精密仪器工程学院,326,person
王红涛,西安理工大学机械与精密仪器工程学院,327,person
李响,中国科学院沈阳自动化研究所机器人学重点实验室,328,person
王越超,中国科学院沈阳自动化研究所机器人学重点实验室 沈阳100016 中国科学院研究生院,329,person
陈世明,华东交通大学电气与电子工程学院 南昌330013,330,person
司应涛,南京师范大学计算机系,331,person
朱庆保,南京师范大学计算机系,332,person
国海涛,南京师范大学计算机系,333,person
绳涛,国防科技大学机器人实验室,334,person
王剑,国防科技大学机器人实验室,335,person
马宏绪,国防科技大学机器人实验室,336,person
